Exporter,Importer,Lookup,2013,2014,2015,2016,2017,2018,2019,2020
New Zealand,France,New ZealandFrance,267,293,259,296,324,309,,
Poland,France,PolandFrance,2083,2173,1927,2098,2289,2710,2725,2625
Portugal,France,PortugalFrance,3954,3975,3839,4359,4998,5598,5438,3880
Romania,France,RomaniaFrance,1798,2033,1689,1897,2246,2394,2547,2293
Russian Federation,France,Russian FederationFrance,1178,1533,1599,1911,2966,2455,1715,
Serbia,France,SerbiaFrance,101,117,112,113,111,150,172,180
Singapore,France,SingaporeFrance,1338,1460,1605,1563,1767,2129,2041,
Slovakia,France,SlovakiaFrance,308,304,259,284,319,359,286,
Slovenia,France,SloveniaFrance,187,222,212,230,280,367,366,296
Spain,France,SpainFrance,15991,16394,13471,14033,15576,16984,17337,
Sweden,France,SwedenFrance,3876,3635,3354,2941,3034,2259,2611,2932
Switzerland,France,SwitzerlandFrance,8600,9114,7980,7597,7331,7584,,
United Kingdom,France,United KingdomFrance,18519,26270,20953,18985,19687,21918,20599,16732
United States,France,United StatesFrance,19415,19647,19850,20129,20218,21473,22306,15492
Albania,Gabon,AlbaniaGabon,,,,,0,0,,
Austria,Gabon,AustriaGabon,46,45,45,40,32,26,4,
Belgium,Gabon,BelgiumGabon,77,66,61,72,29,26,24,
Bosnia and Herzegovina,Gabon,Bosnia and HerzegovinaGabon,,,0,0,0,0,0,
Bulgaria,Gabon,BulgariaGabon,0,0,0,0,0,0,0,
Croatia,Gabon,CroatiaGabon,0,0,0,0,0,0,0,
Cyprus,Gabon,CyprusGabon,0,0,0,0,0,0,0,
Czech Republic,Gabon,Czech RepublicGabon,0,5,4,2,1,1,1,
Denmark,Gabon,DenmarkGabon,7,9,10,6,8,11,16,
Estonia,Gabon,EstoniaGabon,,,,0,0,0,0,
Finland,Gabon,FinlandGabon,4,0,0,1,1,0,0,
France,Gabon,FranceGabon,1069,1208,615,607,618,579,583,
Germany,Gabon,GermanyGabon,9,9,10,,,12,,
Greece,Gabon,GreeceGabon,1,0,26,22,23,28,28,
Hungary,Gabon,HungaryGabon,0,0,0,0,0,0,0,
Iceland,Gabon,IcelandGabon,0,0,0,0,0,0,0,
Ireland,Gabon,IrelandGabon,0,,0,0,0,0,0,
Italy,Gabon,ItalyGabon,1,3,41,4,1,2,1,
Latvia,Gabon,LatviaGabon,0,0,0,0,0,0,0,
Lithuania,Gabon,LithuaniaGabon,0,0,0,0,0,,0,
Luxembourg,Gabon,LuxembourgGabon,3,3,1,1,1,1,1,
Netherlands,Gabon,NetherlandsGabon,210,182,167,105,54,29,12,
Poland,Gabon,PolandGabon,0,0,0,1,0,0,0,
Portugal,Gabon,PortugalGabon,9,4,14,9,3,2,2,
Romania,Gabon,RomaniaGabon,4,4,2,2,0,1,1,
Russian Federation,Gabon,Russian FederationGabon,0,0,0,0,0,0,0,
Serbia,Gabon,SerbiaGabon,1,1,1,2,3,0,0,
Slovakia,Gabon,SlovakiaGabon,0,0,46,0,0,0,0,
Slovenia,Gabon,SloveniaGabon,0,0,0,0,0,0,0,
Sweden,Gabon,SwedenGabon,17,13,15,4,2,6,7,
United Kingdom,Gabon,United KingdomGabon,84,120,153,,,,,
Albania,Georgia,AlbaniaGeorgia,,,,,0,1,,
Austria,Georgia,AustriaGeorgia,13,24,18,25,25,28,40,
Belgium,Georgia,BelgiumGeorgia,23,29,23,27,32,39,56,
Bosnia and Herzegovina,Georgia,Bosnia and HerzegovinaGeorgia,,,0,0,0,0,0,
Bulgaria,Georgia,BulgariaGeorgia,23,26,21,24,32,43,54,
Croatia,Georgia,CroatiaGeorgia,1,1,1,0,6,1,1,
Cyprus,Georgia,CyprusGeorgia,3,5,2,1,0,2,1,
Czech Republic,Georgia,Czech RepublicGeorgia,34,23,16,10,12,160,18,
Denmark,Georgia,DenmarkGeorgia,19,14,30,29,29,40,65,
Estonia,Georgia,EstoniaGeorgia,9,10,7,7,7,9,7,
Finland,Georgia,FinlandGeorgia,3,4,1,3,6,4,8,
France,Georgia,FranceGeorgia,191,232,200,40,40,176,169,
Greece,Georgia,GreeceGeorgia,9,12,14,14,16,14,33,
Hungary,Georgia,HungaryGeorgia,2,2,4,5,18,34,46,
Iceland,Georgia,IcelandGeorgia,1,1,1,0,1,0,1,
Ireland,Georgia,IrelandGeorgia,,,,,,,,
Italy,Georgia,ItalyGeorgia,18,23,25,20,16,24,44,
Latvia,Georgia,LatviaGeorgia,8,8,8,12,16,12,15,
Lithuania,Georgia,LithuaniaGeorgia,7,14,4,4,5,,20,
Luxembourg,Georgia,LuxembourgGeorgia,4,4,1,2,11,17,15,
Malta,Georgia,MaltaGeorgia,1,,,,1,,,
Netherlands,Georgia,NetherlandsGeorgia,45,26,21,23,32,53,42,
Poland,Georgia,PolandGeorgia,21,16,12,15,21,47,76,
Portugal,Georgia,PortugalGeorgia,1,1,1,1,2,2,3,
Romania,Georgia,RomaniaGeorgia,35,23,40,20,24,12,6,
Russian Federation,Georgia,Russian FederationGeorgia,48,51,72,63,66,80,77,
Serbia,Georgia,SerbiaGeorgia,5,1,3,1,3,2,4,
Slovakia,Georgia,SlovakiaGeorgia,5,0,0,0,1,0,0,
Slovenia,Georgia,SloveniaGeorgia,0,0,1,1,1,2,1,
Sweden,Georgia,SwedenGeorgia,11,13,11,11,9,6,7,
United Kingdom,Georgia,United KingdomGeorgia,31,99,61,,,,,
Albania,Germany,AlbaniaGermany,,,,,281,311,381,
Australia,Germany,AustraliaGermany,1191,1189,1087,1212,1259,1334,,
Austria,Germany,AustriaGermany,26330,27497,23872,24878,27394,30153,29945,25996
Belgium,Germany,BelgiumGermany,10208,11333,9560,9579,10012,10806,10442,10238
Bosnia and Herzegovina,Germany,Bosnia and HerzegovinaGermany,,,230,240,261,295,265,
Bulgaria,Germany,BulgariaGermany,1023,1284,1056,1205,1218,1405,1499,
Canada,Germany,CanadaGermany,2311,2157,1622,1773,1912,2425,2405,
China,Germany,ChinaGermany,,,7678,7964,,,,
Croatia,Germany,CroatiaGermany,2562,2466,2438,2430,2626,3017,3210,2160
Cyprus,Germany,CyprusGermany,1077,582,1187,1228,1303,1437,1200,1251
Czech Republic,Germany,Czech RepublicGermany,5574,5789,4536,4938,5419,5415,5785,4573
Denmark,Germany,DenmarkGermany,6859,6736,7147,7200,8967,8955,7910,
Estonia,Germany,EstoniaGermany,299,304,277,327,359,467,477,376
Finland,Germany,FinlandGermany,1934,2223,2006,1975,2414,2928,3138,2320
France,Germany,FranceGermany,30637,31070,25928,24708,26954,30240,30055,26130
Greece,Germany,GreeceGermany,4730,5607,4100,3951,4306,4438,4190,
Hong Kong,Germany,Hong KongGermany,2978,2943,2811,2440,2771,3130,3033,
Hungary,Germany,HungaryGermany,4149,4709,3995,4313,4943,5294,5452,4215
Iceland,Germany,IcelandGermany,226,270,308,370,428,397,362,215
Ireland,Germany,IrelandGermany,11525,12283,11610,12172,12882,17064,18245,19645
Italy,Germany,ItalyGermany,12186,12799,11160,11389,12609,14305,14663,10160
Japan,Germany,JapanGermany,,4759,4609,4691,4886,4661,,
Latvia,Germany,LatviaGermany,252,367,327,360,408,455,470,447
Lithuania,Germany,LithuaniaGermany,750,831,,,1101,1480,1752,1791
Luxembourg,Germany,LuxembourgGermany,13617,15692,14516,15468,16767,18532,20243,
Malaysia,Germany,MalaysiaGermany,824,861,737,780,898,1025,846,625
Malta,Germany,MaltaGermany,749,,,,1992,,,
Netherlands,Germany,NetherlandsGermany,23311,26028,23622,24937,28535,33031,35236,28598
New Zealand,Germany,New ZealandGermany,354,520,533,582,522,596,,
Poland,Germany,PolandGermany,10964,11893,10714,11693,13557,15871,16731,15910
Portugal,Germany,PortugalGermany,2769,2808,2628,2808,3357,4022,3892,2487
Romania,Germany,RomaniaGermany,3250,3733,3377,3622,4201,5069,5330,5130
Russian Federation,Germany,Russian FederationGermany,4543,4162,2697,2646,3025,3437,3495,
Serbia,Germany,SerbiaGermany,466,496,462,520,606,747,850,807
Singapore,Germany,SingaporeGermany,3055,3128,2472,2749,2704,3551,3529,
Slovakia,Germany,SlovakiaGermany,1489,1498,1327,1388,1577,1946,1969,
Slovenia,Germany,SloveniaGermany,1019,1147,960,1049,1220,1406,1419,1394
Spain,Germany,SpainGermany,16142,16063,14039,14715,16446,17419,16765,
Sweden,Germany,SwedenGermany,6124,5866,5447,4659,4781,5130,4775,4729
Switzerland,Germany,SwitzerlandGermany,13793,14978,13558,14339,14223,14703,,
Ukraine,Germany,UkraineGermany,1,1,0,,,,,
United Kingdom,Germany,United KingdomGermany,21169,23622,22122,22645,24600,26012,23644,21558
United States,Germany,United StatesGermany,28220,29272,31138,33235,34484,35478,36227,29594
Albania,Ghana,AlbaniaGhana,,,,,0,0,,
Austria,Ghana,AustriaGhana,17,13,4,8,17,6,8,
Belgium,Ghana,BelgiumGhana,105,112,97,84,117,113,92,
Bosnia and Herzegovina,Ghana,Bosnia and HerzegovinaGhana,,,0,0,0,0,0,
Bulgaria,Ghana,BulgariaGhana,0,0,1,1,0,0,0,
Croatia,Ghana,CroatiaGhana,0,0,0,0,1,0,0,
Cyprus,Ghana,CyprusGhana,0,0,0,0,0,,0,
Czech Republic,Ghana,Czech RepublicGhana,1,1,1,1,1,5,6,
Denmark,Ghana,DenmarkGhana,24,27,54,68,113,127,121,
Estonia,Ghana,EstoniaGhana,0,0,0,0,1,0,2,
Finland,Ghana,FinlandGhana,7,5,3,6,7,5,3,
France,Ghana,FranceGhana,96,,,,149,112,111,
Germany,Ghana,GermanyGhana,41,43,42,49,55,58,66,
Greece,Ghana,GreeceGhana,12,5,40,34,38,47,59,
Hungary,Ghana,HungaryGhana,3,5,4,3,3,4,1,
Iceland,Ghana,IcelandGhana,0,0,0,0,0,0,0,
Ireland,Ghana,IrelandGhana,,19,14,22,31,34,,
Italy,Ghana,ItalyGhana,30,25,11,16,12,11,45,
Latvia,Ghana,LatviaGhana,0,0,1,0,0,0,1,
Lithuania,Ghana,LithuaniaGhana,0,,,0,0,,0,
Luxembourg,Ghana,LuxembourgGhana,65,78,61,42,33,35,35,
Malta,Ghana,MaltaGhana,1,,,,1,,,
Netherlands,Ghana,NetherlandsGhana,284,142,101,103,88,107,92,
Poland,Ghana,PolandGhana,0,0,0,1,1,1,1,
Portugal,Ghana,PortugalGhana,16,8,34,15,9,12,13,
Romania,Ghana,RomaniaGhana,1,1,1,1,1,2,3,
Russian Federation,Ghana,Russian FederationGhana,3,0,1,1,1,1,1,
Serbia,Ghana,SerbiaGhana,1,1,2,1,2,1,2,
Slovakia,Ghana,SlovakiaGhana,0,0,0,0,0,0,0,
Slovenia,Ghana,SloveniaGhana,0,1,0,0,0,0,0,
Sweden,Ghana,SwedenGhana,63,47,67,41,45,46,44,
United Kingdom,Ghana,United KingdomGhana,464,658,822,,,,,
Albania,Greece,AlbaniaGreece,,,,,438,489,525,
Australia,Greece,AustraliaGreece,91,78,66,65,76,70,,
Austria,Greece,AustriaGreece,166,178,159,161,178,215,229,166
Belgium,Greece,BelgiumGreece,380,300,262,282,298,302,387,272
Bosnia and Herzegovina,Greece,Bosnia and HerzegovinaGreece,,,9,8,8,9,10,
Bulgaria,Greece,BulgariaGreece,493,527,407,441,462,518,488,
Canada,Greece,CanadaGreece,283,282,228,235,254,309,305,
Croatia,Greece,CroatiaGreece,17,13,13,15,14,21,21,14
Cyprus,Greece,CyprusGreece,486,385,325,369,400,468,478,473
Czech Republic,Greece,Czech RepublicGreece,90,96,76,71,74,129,92,65
Denmark,Greece,DenmarkGreece,211,250,220,173,158,163,206,
Estonia,Greece,EstoniaGreece,15,20,13,12,14,18,15,7
Finland,Greece,FinlandGreece,43,43,45,52,41,35,227,
France,Greece,FranceGreece,485,535,306,496,621,462,457,469
Germany,Greece,GermanyGreece,1114,1177,1022,1111,1121,1252,1273,
Hong Kong,Greece,Hong KongGreece,,,,,,,,
Hungary,Greece,HungaryGreece,64,66,65,68,74,84,87,87
Iceland,Greece,IcelandGreece,10,9,10,12,9,10,9,
Ireland,Greece,IrelandGreece,477,1016,328,344,425,465,602,481
Italy,Greece,ItalyGreece,731,718,618,766,603,626,562,469
Latvia,Greece,LatviaGreece,15,11,12,12,15,15,13,21
Lithuania,Greece,LithuaniaGreece,9,9,,,24,13,9,12
Luxembourg,Greece,LuxembourgGreece,157,190,216,221,236,223,221,
Malta,Greece,MaltaGreece,41,,,,70,,,
Netherlands,Greece,NetherlandsGreece,825,637,489,521,710,821,849,850
New Zealand,Greece,New ZealandGreece,3,3,3,4,4,4,,
Poland,Greece,PolandGreece,73,63,55,68,89,104,92,59
Portugal,Greece,PortugalGreece,60,72,51,35,41,52,49,33
Romania,Greece,RomaniaGreece,160,161,145,136,160,171,198,144
Russian Federation,Greece,Russian FederationGreece,172,143,135,130,124,133,109,
Serbia,Greece,SerbiaGreece,66,64,43,48,55,70,93,63
Slovakia,Greece,SlovakiaGreece,22,22,26,32,30,29,33,
Slovenia,Greece,SloveniaGreece,26,21,17,23,36,35,43,31
Spain,Greece,SpainGreece,287,349,377,426,472,507,447,
Sweden,Greece,SwedenGreece,135,95,104,84,84,86,99,84
Switzerland,Greece,SwitzerlandGreece,525,618,535,529,529,585,,
United Kingdom,Greece,United KingdomGreece,2087,2080,2096,2027,2122,2265,3756,1392
United States,Greece,United StatesGreece,1352,1412,1330,1314,1617,1768,1653,1168
Albania,Greenland,AlbaniaGreenland,,,,,0,0,,
Austria,Greenland,AustriaGreenland,0,0,0,0,0,0,0,
Belgium,Greenland,BelgiumGreenland,0,0,0,0,0,0,0,
Bosnia and Herzegovina,Greenland,Bosnia and HerzegovinaGreenland,,,0,0,0,0,0,
Bulgaria,Greenland,BulgariaGreenland,0,0,0,0,0,0,0,
Croatia,Greenland,CroatiaGreenland,0,0,0,0,0,0,0,
Cyprus,Greenland,CyprusGreenland,0,0,0,0,0,0,0,
Czech Republic,Greenland,Czech RepublicGreenland,0,0,0,0,0,0,0,
Denmark,Greenland,DenmarkGreenland,217,197,171,166,194,233,241,
Estonia,Greenland,EstoniaGreenland,0,0,0,0,0,0,0,
Finland,Greenland,FinlandGreenland,0,0,0,0,0,0,0,
France,Greenland,FranceGreenland,,7,0,,,0,,
Germany,Greenland,GermanyGreenland,1,1,1,2,7,,8,
Greece,Greenland,GreeceGreenland,0,0,0,0,0,0,0,
Hungary,Greenland,HungaryGreenland,0,,,,,0,,
Iceland,Greenland,IcelandGreenland,15,22,19,24,25,27,17,
Ireland,Greenland,IrelandGreenland,1,1,1,,,0,1,
Italy,Greenland,ItalyGreenland,0,0,0,0,0,0,0,
Latvia,Greenland,LatviaGreenland,0,0,0,0,0,0,0,
Lithuania,Greenland,LithuaniaGreenland,0,,0,,0,,0,
Luxembourg,Greenland,LuxembourgGreenland,0,0,1,1,0,0,0,
Netherlands,Greenland,NetherlandsGreenland,59,21,6,1,1,1,2,
Poland,Greenland,PolandGreenland,1,0,0,1,0,0,0,
Portugal,Greenland,PortugalGreenland,0,0,0,2,0,1,1,
Romania,Greenland,RomaniaGreenland,,,,0,0,,,
Russian Federation,Greenland,Russian FederationGreenland,0,0,0,0,,0,0,
Serbia,Greenland,SerbiaGreenland,0,0,0,0,0,0,0,
Slovakia,Greenland,SlovakiaGreenland,0,0,0,0,0,0,0,
Slovenia,Greenland,SloveniaGreenland,0,0,0,0,0,0,0,
Sweden,Greenland,SwedenGreenland,2,3,2,2,2,3,3,
United Kingdom,Greenland,United KingdomGreenland,0,0,52,,,,,
Albania,Grenada,AlbaniaGrenada,,,,,0,0,,
Austria,Grenada,AustriaGrenada,7,5,4,2,0,0,0,
Belgium,Grenada,BelgiumGrenada,1,0,0,0,0,0,0,
Bosnia and Herzegovina,Grenada,Bosnia and HerzegovinaGrenada,,,0,0,0,0,0,
Bulgaria,Grenada,BulgariaGrenada,0,0,0,0,0,0,0,
Croatia,Grenada,CroatiaGrenada,0,0,0,0,0,0,0,
Cyprus,Grenada,CyprusGrenada,0,0,0,0,0,0,0,
Czech Republic,Grenada,Czech RepublicGrenada,0,0,0,0,0,0,0,
Denmark,Grenada,DenmarkGrenada,0,0,0,0,0,0,0,
Estonia,Grenada,EstoniaGrenada,0,,,0,0,0,,
Finland,Grenada,FinlandGrenada,0,0,0,0,0,0,0,
France,Grenada,FranceGrenada,,,1,,2,,,
Germany,Grenada,GermanyGrenada,0,1,0,,,,,
Greece,Grenada,GreeceGrenada,0,0,0,0,0,0,0,
Hungary,Grenada,HungaryGrenada,0,0,1,,,,,
Iceland,Grenada,IcelandGrenada,0,0,0,0,0,0,0,
Ireland,Grenada,IrelandGrenada,0,0,0,0,0,0,0,
Italy,Grenada,ItalyGrenada,0,0,0,0,0,0,0,
Latvia,Grenada,LatviaGrenada,0,0,0,0,0,0,0,
Lithuania,Grenada,LithuaniaGrenada,0,0,0,0,0,,0,
Luxembourg,Grenada,LuxembourgGrenada,8,29,16,7,9,8,2,
Malta,Grenada,MaltaGrenada,0,,,,0,,,
Netherlands,Grenada,NetherlandsGrenada,2,1,0,1,2,1,1,
Poland,Grenada,PolandGrenada,1,2,1,2,3,3,3,
Portugal,Grenada,PortugalGrenada,0,0,0,0,0,0,1,
Romania,Grenada,RomaniaGrenada,,,,0,0,0,0,
Russian Federation,Grenada,Russian FederationGrenada,0,0,0,0,0,0,0,
Serbia,Grenada,SerbiaGrenada,0,0,0,0,0,0,0,
Slovakia,Grenada,SlovakiaGrenada,0,0,0,0,0,0,0,
Slovenia,Grenada,SloveniaGrenada,1,0,0,0,0,0,0,
Sweden,Grenada,SwedenGrenada,1,6,3,2,1,1,2,
United Kingdom,Grenada,United KingdomGrenada,6,3,5,,,,,
Albania,Guam,AlbaniaGuam,,,,,0,0,,
Austria,Guam,AustriaGuam,0,0,0,0,0,0,0,
Belgium,Guam,BelgiumGuam,4,3,3,3,3,4,4,
Bosnia and Herzegovina,Guam,Bosnia and HerzegovinaGuam,,,0,0,0,0,0,
Bulgaria,Guam,BulgariaGuam,0,0,0,0,0,0,0,
Croatia,Guam,CroatiaGuam,0,0,0,0,0,0,0,
Cyprus,Guam,CyprusGuam,0,0,0,0,0,0,0,
Czech Republic,Guam,Czech RepublicGuam,0,0,0,0,0,1,0,
Denmark,Guam,DenmarkGuam,1,0,0,1,0,0,0,
Estonia,Guam,EstoniaGuam,,,,0,0,0,0,
Finland,Guam,FinlandGuam,0,0,1,1,0,0,0,
France,Guam,FranceGuam,,,0,0,0,,0,
Germany,Guam,GermanyGuam,1,1,1,1,1,0,1,
Greece,Guam,GreeceGuam,0,0,5,4,0,0,1,
Hungary,Guam,HungaryGuam,,,,,,,,
Iceland,Guam,IcelandGuam,0,0,0,0,0,0,0,
Ireland,Guam,IrelandGuam,0,0,0,0,0,0,0,
Italy,Guam,ItalyGuam,1,1,0,0,1,3,1,
Latvia,Guam,LatviaGuam,0,0,0,0,0,0,0,
Lithuania,Guam,LithuaniaGuam,0,0,0,0,0,,1,
Luxembourg,Guam,LuxembourgGuam,23,11,0,0,0,0,0,
Malta,Guam,MaltaGuam,0,,,,0,,,
Netherlands,Guam,NetherlandsGuam,14,1,1,3,4,4,4,
Poland,Guam,PolandGuam,0,0,0,0,0,0,0,
Portugal,Guam,PortugalGuam,0,0,0,0,0,0,0,
Romania,Guam,RomaniaGuam,,,,,,,0,
Russian Federation,Guam,Russian FederationGuam,0,0,0,0,0,0,0,
Serbia,Guam,SerbiaGuam,0,0,0,0,0,0,0,
Slovakia,Guam,SlovakiaGuam,0,0,0,0,0,0,0,
Slovenia,Guam,SloveniaGuam,0,0,0,0,0,0,0,
Sweden,Guam,SwedenGuam,0,0,0,0,0,0,0,
United Kingdom,Guam,United KingdomGuam,5,0,6,,,,,
Albania,Guatemala,AlbaniaGuatemala,,,,,0,0,,
Austria,Guatemala,AustriaGuatemala,7,7,8,10,9,11,6,
Belgium,Guatemala,BelgiumGuatemala,8,5,8,7,8,13,10,
Bosnia and Herzegovina,Guatemala,Bosnia and HerzegovinaGuatemala,,,0,0,0,0,0,
Bulgaria,Guatemala,BulgariaGuatemala,0,0,0,1,0,0,0,
Canada,Guatemala,CanadaGuatemala,34,24,54,22,27,25,27,
Croatia,Guatemala,CroatiaGuatemala,0,0,0,0,0,0,0,
Cyprus,Guatemala,CyprusGuatemala,0,0,0,0,0,0,0,
Czech Republic,Guatemala,Czech RepublicGuatemala,1,0,0,1,0,4,1,
Denmark,Guatemala,DenmarkGuatemala,38,50,28,20,19,21,22,
Estonia,Guatemala,EstoniaGuatemala,0,0,0,0,0,0,0,
Finland,Guatemala,FinlandGuatemala,3,3,10,3,5,2,3,
France,Guatemala,FranceGuatemala,19,20,19,44,28,40,35,
Germany,Guatemala,GermanyGuatemala,37,50,60,70,81,90,83,
Greece,Guatemala,GreeceGuatemala,1,2,8,8,10,10,10,
Hungary,Guatemala,HungaryGuatemala,0,0,0,0,0,0,0,
Iceland,Guatemala,IcelandGuatemala,0,0,0,0,0,0,0,
Ireland,Guatemala,IrelandGuatemala,3,5,3,2,5,4,6,
Italy,Guatemala,ItalyGuatemala,18,20,23,24,15,18,9,
Latvia,Guatemala,LatviaGuatemala,0,0,0,0,0,0,0,
Lithuania,Guatemala,LithuaniaGuatemala,0,0,0,0,0,,0,
Luxembourg,Guatemala,LuxembourgGuatemala,5,15,14,7,9,43,41,
Netherlands,Guatemala,NetherlandsGuatemala,26,22,23,19,39,66,68,
Poland,Guatemala,PolandGuatemala,0,0,0,1,1,1,1,
Portugal,Guatemala,PortugalGuatemala,0,1,1,1,2,2,2,
Romania,Guatemala,RomaniaGuatemala,0,0,0,0,0,0,0,
Russian Federation,Guatemala,Russian FederationGuatemala,0,0,0,0,0,1,1,
Serbia,Guatemala,SerbiaGuatemala,0,0,0,0,0,0,0,
Slovakia,Guatemala,SlovakiaGuatemala,0,0,0,0,0,0,0,
Slovenia,Guatemala,SloveniaGuatemala,0,0,0,0,0,0,0,
Sweden,Guatemala,SwedenGuatemala,8,15,10,7,7,12,15,
United Kingdom,Guatemala,United KingdomGuatemala,16,13,12,,,,,
United States,Guatemala,United StatesGuatemala,1421,1480,1537,1596,1660,1701,1634,941
Albania,Guinea,AlbaniaGuinea,,,,,0,0,,
Austria,Guinea,AustriaGuinea,0,0,0,0,1,0,1,
Belgium,Guinea,BelgiumGuinea,29,24,32,28,32,25,24,
Bosnia and Herzegovina,Guinea,Bosnia and HerzegovinaGuinea,,,0,0,0,0,0,
Bulgaria,Guinea,BulgariaGuinea,0,0,0,0,0,0,0,
Croatia,Guinea,CroatiaGuinea,0,0,0,0,0,0,0,
Cyprus,Guinea,CyprusGuinea,0,0,0,0,0,0,0,
Czech Republic,Guinea,Czech RepublicGuinea,0,0,0,0,0,0,0,
Denmark,Guinea,DenmarkGuinea,7,21,22,25,19,28,34,
Estonia,Guinea,EstoniaGuinea,0,,0,0,0,0,0,
Finland,Guinea,FinlandGuinea,1,0,0,1,1,1,0,
France,Guinea,FranceGuinea,105,100,180,121,154,76,99,
Germany,Guinea,GermanyGuinea,,,,15,21,19,,
Greece,Guinea,GreeceGuinea,0,0,22,20,38,82,88,
Hungary,Guinea,HungaryGuinea,0,0,0,0,0,0,0,
Iceland,Guinea,IcelandGuinea,0,0,0,0,0,0,0,
Ireland,Guinea,IrelandGuinea,1,1,0,0,0,0,0,
Italy,Guinea,ItalyGuinea,1,1,2,0,0,0,0,
Latvia,Guinea,LatviaGuinea,0,0,0,0,0,0,0,
Lithuania,Guinea,LithuaniaGuinea,0,,5,7,,,2,
Luxembourg,Guinea,LuxembourgGuinea,3,3,1,2,2,2,1,
Netherlands,Guinea,NetherlandsGuinea,41,18,18,15,22,14,7,
Poland,Guinea,PolandGuinea,0,1,0,0,0,0,0,
Portugal,Guinea,PortugalGuinea,1,0,0,14,1,1,1,
Romania,Guinea,RomaniaGuinea,0,0,0,0,0,0,0,
Russian Federation,Guinea,Russian FederationGuinea,1,1,1,1,2,3,1,
Serbia,Guinea,SerbiaGuinea,0,0,0,0,0,0,0,
Slovakia,Guinea,SlovakiaGuinea,0,0,0,0,0,0,3,
Slovenia,Guinea,SloveniaGuinea,0,0,0,0,0,0,0,
Sweden,Guinea,SwedenGuinea,8,8,5,7,1,4,2,
United Kingdom,Guinea,United KingdomGuinea,75,104,44,,,,,
Albania,Guinea-Bissau,AlbaniaGuinea-Bissau,,,,,0,0,,
Austria,Guinea-Bissau,AustriaGuinea-Bissau,0,0,0,0,0,0,0,
Belgium,Guinea-Bissau,BelgiumGuinea-Bissau,3,4,3,3,3,5,4,
Bulgaria,Guinea-Bissau,BulgariaGuinea-Bissau,0,0,0,0,0,0,0,
Croatia,Guinea-Bissau,CroatiaGuinea-Bissau,0,0,0,0,0,0,0,
Cyprus,Guinea-Bissau,CyprusGuinea-Bissau,0,0,0,,0,0,0,
Czech Republic,Guinea-Bissau,Czech RepublicGuinea-Bissau,0,0,0,0,0,0,0,
Denmark,Guinea-Bissau,DenmarkGuinea-Bissau,2,3,5,5,6,6,9,
Estonia,Guinea-Bissau,EstoniaGuinea-Bissau,0,0,,0,0,0,0,
Finland,Guinea-Bissau,FinlandGuinea-Bissau,0,0,0,0,0,1,1,
France,Guinea-Bissau,FranceGuinea-Bissau,4,3,,3,,,,
Germany,Guinea-Bissau,GermanyGuinea-Bissau,,,,,,4,4,
Greece,Guinea-Bissau,GreeceGuinea-Bissau,0,0,0,0,0,0,0,
Hungary,Guinea-Bissau,HungaryGuinea-Bissau,0,0,0,0,0,0,0,
Iceland,Guinea-Bissau,IcelandGuinea-Bissau,0,0,0,0,0,0,0,
Ireland,Guinea-Bissau,IrelandGuinea-Bissau,0,0,0,0,0,0,0,
Italy,Guinea-Bissau,ItalyGuinea-Bissau,0,0,0,0,0,0,0,
Latvia,Guinea-Bissau,LatviaGuinea-Bissau,0,0,0,0,0,0,0,
Lithuania,Guinea-Bissau,LithuaniaGuinea-Bissau,,0,0,0,0,,0,
Luxembourg,Guinea-Bissau,LuxembourgGuinea-Bissau,0,0,0,0,0,0,0,
Malta,Guinea-Bissau,MaltaGuinea-Bissau,0,,,,0,,,
Netherlands,Guinea-Bissau,NetherlandsGuinea-Bissau,6,3,2,3,3,2,1,
Poland,Guinea-Bissau,PolandGuinea-Bissau,0,0,0,0,0,0,0,
Portugal,Guinea-Bissau,PortugalGuinea-Bissau,9,5,7,19,14,18,28,
Romania,Guinea-Bissau,RomaniaGuinea-Bissau,,,0,0,,,,
Russian Federation,Guinea-Bissau,Russian FederationGuinea-Bissau,0,0,0,0,0,0,0,
Serbia,Guinea-Bissau,SerbiaGuinea-Bissau,0,0,0,0,0,0,0,
Slovakia,Guinea-Bissau,SlovakiaGuinea-Bissau,0,0,0,0,0,0,0,
Slovenia,Guinea-Bissau,SloveniaGuinea-Bissau,0,0,0,0,0,0,1,
Sweden,Guinea-Bissau,SwedenGuinea-Bissau,2,3,5,5,1,3,2,
United Kingdom,Guinea-Bissau,United KingdomGuinea-Bissau,0,0,0,,,,,
Albania,Guyana,AlbaniaGuyana,,,,,0,246,,
Austria,Guyana,AustriaGuyana,0,0,0,0,0,0,0,
Belgium,Guyana,BelgiumGuyana,0,0,0,0,0,0,1,
Bosnia and Herzegovina,Guyana,Bosnia and HerzegovinaGuyana,,,0,0,0,0,0,
Bulgaria,Guyana,BulgariaGuyana,0,0,0,0,0,0,0,
Croatia,Guyana,CroatiaGuyana,0,0,0,0,0,0,0,
Cyprus,Guyana,CyprusGuyana,0,0,0,0,0,0,,
Czech Republic,Guyana,Czech RepublicGuyana,0,1,1,1,2,6,1,
Denmark,Guyana,DenmarkGuyana,5,6,9,9,10,12,14,
Estonia,Guyana,EstoniaGuyana,0,0,0,0,0,0,0,
Finland,Guyana,FinlandGuyana,7,3,0,0,0,0,0,
France,Guyana,FranceGuyana,31,29,,6,6,8,12,
